name,level,lat,lon,matched
Parque Jaime Duque,city,4.96572,-73.91366,"Tocancipá, Ciudad de Tocancipá, Tocancipá, Sabana Centro, Cundinamarca, RAP (Especial) Central, 251010, Colombia"
Museo Aéreo Fénix,city,3.53084,-76.29880,"Palmira, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"Escuela Militar de Aviación Marco Fidel Suárez Heritage Aircraft, Cali",city,3.45200,-76.53253,"Cali ciudad, Cali, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"Corredor Verde Tramo del Aire OV-10 Bronco, Cali",city,3.45200,-76.53253,"Cali ciudad, Cali, Sur, Valle del Cauca, RAP Pacífico, Colombia"
Comando Aéreo de Combate No. 1 Palanquero Displays,city,5.46369,-74.65012,"Puerto Salgar, Bajo Magdalena, Cundinamarca, RAP (Especial) Central, Colombia"
Comando Aéreo de Combate No. 2 Apiay Displays,city,4.13476,-73.62015,"Perímetro Urbano Villavicencio, Villavicencio, Meta, RAP (Especial) Central, Colombia"
"Glorieta del Avión OV-10 Bronco, Villavicencio",city,4.13476,-73.62015,"Perímetro Urbano Villavicencio, Villavicencio, Meta, RAP (Especial) Central, Colombia"
"Monumento A-37 Dragonfly, Malambo",city,10.86534,-74.77462,"Malambo, Atlántico, RAP Caribe, 083010, Colombia"
Comando Aéreo de Combate No. 3 Malambo Displays,city,10.86534,-74.77462,"Malambo, Atlántico, RAP Caribe, 083010, Colombia"
Comando Aéreo de Combate No. 4 Melgar Displays,city,4.20398,-74.64295,"Melgar, Oriente, Tolima, RAP Eje Cafetero, 734001, Colombia"
"Monumento del Helicóptero UH-1H Las Delicias, Rionegro",city,6.15362,-75.37417,"Rionegro, Oriente, Antioquia, RAP del Agua y la Montaña, 054040, Colombia"
"Monumento a la Aviación Militar T-37, Flandes",city,4.28650,-74.81370,"Flandes, Centro, Tolima, RAP (Especial) Central, Colombia"
"Monumento Héroes de la Patria T-37 FAC 2120, El Cerrito",address,3.67829,-76.30045,"Parque Recreacional El Cerrito, El Cerrito, Sur, Valle del Cauca, RAP Pacífico, Colombia"
"Parque del Avión T-37, Villa de Leyva",address,5.62959,-73.52871,"Parque del Avión, Villa de Leiva, Villa de Leyva, Ricaurte, Boyacá, RAP (Especial) Central, Colombia"
"Bosque Popular El Prado T-37, Manizales",address,5.03499,-75.47760,"Bosque Popular El Prado, Comuna Tesorito, Perímetro Urbano Manizales, Centrosur, Caldas, RAP del Agua y la Montaña, Colo"
"Grupo Aéreo del Amazonas OV-10 Bronco Monument, Leticia",city,-4.21292,-69.94260,"Leticia, Amazonas, RAP Amazonía, Colombia"
"Grupo Aéreo del Casanare Heritage Aircraft, Yopal",city,5.33567,-72.39369,"Perímetro Urbano Yopal, Yopal, Casanare, RAP Llanos, Colombia"
"Comando Aéreo de Transporte Militar CATAM Displays, Bogotá",city,4.65338,-74.08363,"Bogotá ciudad, Bogotá, Distrito Capital, RAP (Especial) Central, Colombia"
"Colegio De La Salle DC-3, Bogotá",address,4.74849,-74.03237,"Colegio de la Salle, Avenida Calle 170, Ciudad La Salle, UPZs de Bogotá, Localidad Usaquén, Bogotá ciudad, Bogotá, Distr"
"Escuela de Infantería Club Casamata T-6 Texan, Bogotá",city,4.65338,-74.08363,"Bogotá ciudad, Bogotá, Distrito Capital, RAP (Especial) Central, Colombia"
"OV-10 Bronco FAC 2221 Display, Los Trupillos, Santa Marta",city,11.23209,-74.19509,"Perímetro Urbano Santa Marta, Santa Marta, Magdalena, RAP Caribe, Colombia"
"Escuela de Suboficiales FAC Displays, Madrid",city,4.73673,-74.26547,"Madrid, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
"Comando Aéreo de Mantenimiento CAMAN Displays, Madrid",city,4.73673,-74.26547,"Madrid, Sabana Occidente, Cundinamarca, RAP (Especial) Central, Colombia"
