name,city,state_province,country,postal_code,region,address,website,latitude,longitude
Flying Heritage & Combat Armor Museum,Everett,Washington,United States,98204,North America,3407 109th St SW,https://flyingheritage.org/,47.9002,-122.2807
Heritage Flight Museum,Burlington,Washington,United States,98233,North America,15053 Crosswind Drive,https://heritageflight.org/,48.4642,-122.4205
Olympic Flight Museum,Olympia,Washington,United States,98501,North America,7637-A Old Highway 99 SE,https://olympicflightmuseum.com/,46.9764,-122.8979
Port Townsend Aero Museum,Port Townsend,Washington,United States,98368,North America,105 Airport Road,https://ptaeromuseum.com/,48.0569,-122.8082
McChord Air Museum,Joint Base Lewis-McChord,Washington,United States,98438,North America,"Building 517, B Street SW, McChord Field",https://mcchordairmuseum.org/,47.1217,-122.4943
Pearson Air Museum,Vancouver,Washington,United States,98661,North America,1115 E 5th Street,https://www.nps.gov/fova/planyourvisit/pearsonairmuseum.htm,45.6239,-122.6563
Pacific Northwest Naval Air Museum,Oak Harbor,Washington,United States,98277,North America,"545 W Ault Field Road, Building D",https://pnwnam.org/,48.3259,-122.6447
McAllister Museum of Aviation,Yakima,Washington,United States,98903,North America,2008 S 16th Avenue,https://mcallistermuseum.org/,46.5687,-120.5304
Veterans Memorial Museum,Chehalis,Washington,United States,98532,North America,100 SW Veterans Way,https://www.veteransmuseum.org/,46.6541,-122.9776
Boeing Future of Flight,Mukilteo,Washington,United States,98275,North America,8415 Paine Field Blvd,https://www.boeingfutureofflight.com/,47.9185,-122.2925
Lewis Army Museum,Joint Base Lewis-McChord,Washington,United States,98433,North America,4320 Main Street,https://lewisarmymuseum.com/,47.0973,-122.6148
