id	country	rule	tail	manufacturer	designation	site_country
18793	FR	F- registration	F-PPPN	Lemaire	01	France
24594	US	US registration (maker is not a UK airframe builder)	N8600	Fleet	1	United States
26945	US	US registration (maker is not a UK airframe builder)	N6162	Barndoor	1	United States
19520	IL	4X- registration	4X-AAF	Fleet	1	Israel
25772	US	N-number	N638M	Fleet	1	United States
15836	GB	RAF pre-war single-letter serial	A8226	Sopwith	1 1/2 Strutter	United Kingdom
20217	US	N-number	N4088H	Sopwith	1 1/2 Strutter	United States
20218	US	N-number	N1914S	Sopwith	1 1/2 Strutter	United States
20865	CA	C-F/G registration	C-FSOP	Sopwith	1 1/2 Strutter	Canada
23458	GB	G- registration	G-AVMN	BAC	1-11-510ED	Denmark
5891	US	N-number	N891H	Driggers	1-A	United States
25769	US	US registration (maker is not a UK airframe builder)	N3960	Waco	10	United States
11560	AR	LV- registration	LV-ZCL	Fleet	10A	Argentina
15969	GB	G- registration	G-LIOA	Lockheed	10A	United Kingdom
22621	NZ	ZK- registration	ZK-BUT	Lockheed	10A	New Zealand
22622	NZ	ZK- registration	ZK-AFD	Lockheed	10A	New Zealand
7801	US	N-number	N34690	Stinson	10A	United States
8452	US	N-number	N36794	Stinson	10A	United States
9693	US	N-number	N31553	Stinson	10A	United States
25105	US	N-number	N34645	Stinson	10A	United States
26971	US	N-number	N34618	Stinson	10A	United States
23936	US	N-number	N418N	Travel Air	10D	United States
7645	US	N-number	N1602D	Lockheed	10E	United States
7233	US	US registration (maker is not a UK airframe builder)	N7970	Waco	10GXE	United States
21202	CA	CF- registration	CF-AQU	Waco	10GXE	Canada
21203	CA	CF- registration	CF-AOI	Waco	10GXE	Canada
18256	FR	F- registration	F-PIHU	BG	10-01	France
20579	CA	C-F/G registration	C-FPYJ	Ultimate	10-100	Canada
19373	IR	EP- registration	EP-ASL	Fokker	100	Iran
22001	AU	VH- registration	VH-NHO	Fokker	100	Australia
20292	US	N-number	N108ZZ	Nord	1002	United States
22521	NZ	ZK- registration	ZK-WFI	Nord	1002	New Zealand
14768	GB	G- registration	G-ATBG	Nord	1002	United Kingdom
17628	DE	D- registration	D-ELLM	Nord	1002Pingouin II	Germany
21193	CA	CF- registration	CF-REF	Viking	104	Canada
24120	US	N-number	N49888	Spratt	108	United States
13270	UY	CX- registration	CX-ALL	Stinson	108-3	Uruguay
21505	CA	CF- registration	CF-BMP	Stinson	108-1 Voyager	Canada
7523	US	N-number	N435D	Stinson	108-2	United States
21267	CA	CF- registration	CF-MPJ	Stinson	108-2 Flying Station Wagon	Canada
10611	US	N-number	N918C	Stinson	108-3	United States
24084	US	N-number	N6729M	Stinson	108-3	United States
26965	US	N-number	N6528M	Stinson	108-3	United States
