Panavia|Tornado|F.3|ZE256|Tornado||fixed_wing|monoplane|military|fighter||Ex-Royal Air Force air-defence variant; acquired from Jet Art Aviation Ltd of the United Kingdom and delivered to the museum by road on 12 March 2019 per the museum's own type page; serial from the Wikimedia Commons file "Royal Air Force; ZE256"|ZE 256|on_display|GB|Eesti Lennundusmuuseum -- Lange
Hawker Siddeley|Harrier|GR.3|XZ994|Harrier||fixed_wing|monoplane|military|ground_attack||Ex-Royal Air Force; the museum's Estonian page records only "saadud Inglismaalt" (obtained from England); serial from the Commons file "Royal Air Force; XZ994; Hawker Siddeley Harrier GR.3" and from Commons Category:XZ994 (aircraft)|XZ 994|on_display|GB|Eesti Lennundusmuuseum -- Lange
SEPECAT|Jaguar|GR.3|XZ361|Jaguar||fixed_wing|monoplane|military|ground_attack||Ex-Royal Air Force; museum records it as received from England; identity from Commons Category:XZ361 (aircraft) filed under both Royal Air Force aircraft at the Estonian Aviation Museum and SEPECAT Jaguar GR.3 at the Estonian Aviation Museum|XZ 361|on_display|GB|Eesti Lennundusmuuseum -- Lange
Lockheed|F-104||MM6507|Starfighter||fixed_wing|monoplane|military|fighter||Ex-Aeronautica Militare; obtained from the Italian air force. VARIANT IS DISPUTED and is therefore left blank: the museum's own pages call it an F-104 ASA while the Commons photographer filed it as "Italian Air Force; MM6507; Lockheed F-104G Starfighter". MM65xx serials belong to the F-104G batches; ASA was a later F-104S upgrade. Do not assert a variant without the airframe record|MM 6507; F104|on_display|IT|Eesti Lennundusmuuseum -- Lange
Saab|J35||||Draken|fixed_wing|monoplane|military|fighter||Wears Swedish Air Force individual code 10; tail_number left BLANK because a Swedish two-digit code is not a serial and the five-digit airframe number was not recorded by any source I could reach. Owned by the Swedish Air Force Museum and displayed at Lange on loan per et.wikipedia. Identity from Commons file "Swedish Air Force; 10; Saab J35 Draken"|Saab 35; J 35; Draken; J35|on_display|SE|Eesti Lennundusmuuseum -- Lange
Saab|JA 37||||Viggen|fixed_wing|monoplane|military|fighter||Wears Swedish Air Force individual code 4; tail_number left BLANK for the same reason as the Draken. Owned by the Swedish Air Force Museum and on loan. Identity from Commons file "Swedish Air Force; 4; Saab JA37 Viggen"|Saab 37; JA37; Viggen|on_display|SE|Eesti Lennundusmuuseum -- Lange
Saab|J32|E||Lansen||fixed_wing|monoplane|military|electronic_warfare||Wears Swedish Air Force individual code 09; tail_number BLANK as above. The J 32E was the electronic-warfare and target-towing conversion of the Lansen. Owned by the Swedish Air Force Museum and on loan. Identity from Commons file "Swedish Air Force; 09; Saab J-32E Lansen"|Saab 32; J32E; Lansen; J32|on_display|SE|Eesti Lennundusmuuseum -- Lange
Dassault|Mirage III|RS|R-2112|Mirage||fixed_wing|monoplane|military|recon||Ex-Swiss Air Force reconnaissance Mirage; the museum records it as received from the Swiss defence ministry; serial from Commons file "Swiss Air Force; R-2112; Dassault Mirage 3RS"|R2112; Mirage IIIRS; Mirage 3RS|on_display|CH|Eesti Lennundusmuuseum -- Lange
Mikoyan-Gurevich|MiG-21||9011|Fishbed||fixed_wing|monoplane|military|fighter||Ex-Polish Air Force; obtained from Poland. VARIANT DISPUTED and left blank: the museum's own page is headed MiG-21Bis and et.wikipedia says MiG-21bis; the Commons photographer filed it as "Polish Air Force; 9011; Mikoyan-Gurevich MiG-21MF". Bort 9011 is carried on the airframe|MiG21; Fishbed; 9011|on_display|PL|Eesti Lennundusmuuseum -- Lange
Mikoyan-Gurevich|MiG-23|MLD|32|Flogger||fixed_wing|monoplane|military|fighter||Ex-Ukrainian Air Force; the museum records it as received from Ukraine and it wears Ukrainian markings. Bort 32 is a two-digit tactical number and NOT a construction number; the c/n is unknown and must not be inferred. Identity from Commons file "Ukranian Air Force; 32; Mikoyan-Gurevich Mig-23MLD"|MiG23; Flogger|on_display|UA|Eesti Lennundusmuuseum -- Lange
Mikoyan-Gurevich|MiG-25|RBS|25|Foxbat||fixed_wing|monoplane|military|recon||Soviet Air Force reconnaissance-bomber Foxbat-D; bort 25. Only ever a Soviet airframe; no post-1991 national operator; recorded RU accordingly. Identity from Commons file "USSR Air Force; 25; Mikoyan-Gurevich MiG-25RBS"|MiG25; Foxbat; Foxbat-D|on_display|RU|Eesti Lennundusmuuseum -- Lange
McDonnell Douglas|F-4|F|37+91|Phantom II||fixed_wing|monoplane|military|fighter||Ex-Luftwaffe. The museum's own page is headed "F-4C Phantom II" but states "Saadud: Saksamaa" (received from Germany); the Commons file is "German Air Force; 37-91; McDonnell Douglas F-4F Phantom II". Germany never operated the F-4C; the museum's page title is wrong and the airframe is an F-4F. A separate F-4 nose section is also present per Commons|F4F; 3791; 37-91|on_display|DE|Eesti Lennundusmuuseum -- Lange
Sukhoi|Su-22|M4|3212|Fitter||fixed_wing|monoplane|military|ground_attack||Ex-Polish Air Force Su-22M4; serial 3212 from Commons file "Polish Air Force; 3212; Sukhoi Su-22M4 Fitter K"; consistent with the museum's Poland project|Su22; Fitter; Fitter-K|on_display|PL|Eesti Lennundusmuuseum -- Lange
Sukhoi|Su-24||39|Fencer||fixed_wing|monoplane|military|bomber||Ex-Ukrainian Air Force; wears Ukrainian markings; bort 39. VARIANT left blank: the Commons file says Su-24M2 but the M2 was a Russian upgrade programme and Ukrainian Fencers were M and MR; the museum's own page says only Su-24. Do not assert M2|Su24; Fencer|on_display|UA|Eesti Lennundusmuuseum -- Lange
Yakovlev|Yak-28||52|Brewer||fixed_wing|monoplane|military|electronic_warfare||Soviet Air Force; bort 52. VARIANT DISPUTED and left blank: the museum's own page and et.wikipedia both say Jak-28PP (the jamming variant) while the Commons file says "USSR Air Force; 52; Yakovlev Yak-28P" (the interceptor). The museum also displays this aircraft's radar and one of its engines as separate exhibits. Only ever a Soviet airframe|Yak28; Jak-28; Brewer; Firebar|on_display|RU|Eesti Lennundusmuuseum -- Lange
Aero|L-39|C|36|Albatros||fixed_wing|monoplane|military|trainer||Ex-Ukrainian Air Force; bort 36; identity from Commons file "Ukranian Air Force; 36; Aero L-39 Albatros"|L39; Albatros|on_display|UA|Eesti Lennundusmuuseum -- Lange
Aero|L-29||OM-JLP|Delfín||fixed_wing|monoplane|military|trainer||Registration OM-JLP is a Slovak civil registration; the Commons file is titled "Czech Air Force; OM-JLP; L-29 Delfin" which mixes an operator and a civil mark. Recorded with the registration it wears; the military service history is not established|L29; Delfin; Maya; OMJLP|on_display||Eesti Lennundusmuuseum -- Lange
PZL-Mielec|TS-11||1234|Iskra||fixed_wing|monoplane|military|trainer||Ex-Polish Air Force; the first jet designed and built in Poland; serial 1234 from Commons file "Polish Air Force; 1234; PZL-Mielec TS-11 Iskra". Received from the Polish air force per et.wikipedia|TS11; Iskra|on_display|PL|Eesti Lennundusmuuseum -- Lange
PZL-Okęcie|PZL-104|Wilga 35A|50|Wilga||fixed_wing|monoplane|civilian|utility||Obtained from Ridali Lennuklubi per et.wikipedia; carries the number 50 per Commons file "Private; 50; PZL-Okecie 104 Wilga 35A"; glider-tug and utility type|PZL104; Wilga-35; Wilga 35|on_display||Eesti Lennundusmuuseum -- Lange
British Aerospace|Hawk|Mk.51A|HW-326|Hawk||fixed_wing|monoplane|military|trainer||Ex-Finnish Air Force; received from Finland per et.wikipedia; Finnish serial HW-326 from Commons file "Finnish Air Force; HW-326; British Aerospace Hawk Mk.51A"|HW326; Hawk 51|on_display|FI|Eesti Lennundusmuuseum -- Lange
Aeroprakt|A-22|L|ES-ULM|Foxbat||fixed_wing|monoplane|civilian|private||Ukrainian-designed microlight; Estonian registration ES-ULM; et.wikipedia notes this aircraft is airworthy ("lendav") — recorded on_display because it is part of the museum's presented collection|A22; A-22L; Foxbat; ESULM|on_display|EE|Eesti Lennundusmuuseum -- Lange
Tupolev|Tu-134|A-3|ES-LTA|||fixed_wing|monoplane|civilian|commercial_transport||Ex-ELK Airways; Estonian registration ES-LTA; the airframe is traced as OpenStreetMap way/603619224 on the museum site with aircraft:colour white-aqua; Commons file "ELK Airways; ES-LTA; Tupolev Tu-134A-3". Cockpit is open to visitors|Tu134; ESLTA|on_display|EE|Eesti Lennundusmuuseum -- Lange
Yakovlev|Yak-40||UR-87590|Codling||fixed_wing|monoplane|civilian|commercial_transport||Ex-UES Avia of Ukraine; registration UR-87590 from Commons file. The museum's own page states this particular aircraft was used by former Ukrainian prime minister Yulia Tymoshenko|Yak40; Codling; UR87590|on_display|UA|Eesti Lennundusmuuseum -- Lange
