manufacturer,model,variant,tail_number,construction_number,operator_country,model_name,aircraft_name,aircraft_type,wing_type,military_civilian,role_type,year_built,description,aliases,museum_name,display_status
North American,T-6,D,52-0002,,JP,Texan,,fixed_wing,monoplane,military,trainer,,The second JASDF T-6; the first of the series survives only as a forward fuselage at an airsoft field in Toyokawa,T6D; T6,JASDF Ashiya Air Base,on_display
North American,F-86,D,84-8106,,JP,Sabre Dog,,fixed_wing,monoplane,military,fighter,,Repainted between January and March 2021; the contract paperwork classes it as a display aircraft,F86D; F86,JASDF Ashiya Air Base,on_display
North American,F-86,F,52-7406,,JP,Sabre,,fixed_wing,monoplane,military,fighter,,Early F-86F-30 with wing fences carrying the yellow and black checks of 1 Sqn at Hamamatsu,F86F; F-86F-30; F86,JASDF Ashiya Air Base,on_display
Mitsubishi,F-1,,80-8219,,JP,,,fixed_wing,monoplane,military,ground_attack,,Classed in the base paperwork as a converted airframe for fire-fighting training rather than a display aircraft; repainted early 2021,F1,JASDF Ashiya Air Base,on_display
Sikorsky,H-19,C,,,JP,Chickasaw,,rotary_wing,,military,search_rescue,,Serial 91-4707 but repainted as 91-4777 by 2000 and left that way; repainted again early 2021 and formally classed as a display aircraft,H19C; 91-4777; 91-4707; H19,JASDF Ashiya Air Base,on_display
Fuji,T-1,A,05-5812,,JP,,,fixed_wing,monoplane,military,trainer,,Replaced the first T-1 built which had deteriorated,T1A; T1,JASDF Ashiya Air Base,on_display
Mitsubishi,Nike-J,,,,JP,Nike-J,,missile_rocket,,military,other,,surface_to_air Training round in the display group at 33.8892N 130.6636E; a second Nike-J stands west of the control tower at 33.8795N 130.6479E,NikeJ,JASDF Ashiya Air Base,on_display
Fuji,T-1,A,25-5845,,JP,,,fixed_wing,monoplane,military,trainer,,Fin only inside the base reference hall,T1A; T1,JASDF Ashiya Air Base,on_display
Nakajima,Ki-43,II Otsu,,,JP,,Hayabusa,fixed_wing,monoplane,military,fighter,,Eight-tenths scale model in the base reference hall,Ki43; Oscar; Hayabusa,JASDF Ashiya Air Base,on_display
Mitsubishi,F-86,F,92-7878,,JP,Sabre,,fixed_wing,monoplane,military,fighter,,Forward fuselage of the aircraft written off in the accident of 5 Apr 1967; the nose is heavily crushed back to the gun panels,F86F; F86,JASDF Ashiya Air Base,in_storage
