name,level,lat,lon,matched
"Parque La Carolina DC-6 El Avión, Quito",city,-0.22016,-78.51233,"Quito, Pichincha, 170130, Ecuador"
"Club de Niños Ovejitas de Jesús T-33, Otón de Vélez",city,-0.12267,-78.34672,"Otón de Vélez, Yaruqui, Quito, Pichincha, 172919, Ecuador"
"Parque Yaznán AT-33, Cayambe",address,0.02871,-78.14938,"Parque Yaznan, Junta Parroquial de Juan Montalvo, Cayambe, Pichincha, 171002, Ecuador"
"Parque Héroes del 41 AT-33, Ibarra",city,0.35205,-78.11997,"Ibarra, Imbabura, Ecuador"
"Hacienda Pastaví Caravelle, Otavalo",city,0.22953,-78.26208,"Otavalo, Imbabura, Ecuador"
"Club General de Aerotécnicos FAE T-33, San Rafael",city,-0.30941,-78.45577,"San Rafael, Sangolquí, Sangolqui, Pichincha, 171102, Ecuador"
"Base Aérea Cotopaxi Displays, Latacunga",city,-0.93403,-78.61458,"Latacunga, Cotopaxi, Ecuador"
"Escuela Técnica de la Fuerza Aérea Displays, Latacunga",city,-0.93403,-78.61458,"Latacunga, Cotopaxi, Ecuador"
"Fuerte Patria BFE 9 Instructional Airframes, Latacunga",city,-0.93403,-78.61458,"Latacunga, Cotopaxi, Ecuador"
"Aeropuerto Chachoán Mirage F1, Ambato",city,-1.24224,-78.62876,"Ambato, Tungurahua, Ecuador"
"Parque Infantil A-37 and T-33, Píllaro",city,-1.17253,-78.54232,"Pillaro, Santiago de Pillaro, Tungurahua, Ecuador"
"Mirador AT-33 Monument, Guaranda",city,-1.50957,-79.02442,"Guaranda, Bolívar, Ecuador"
Ala de Combate No. 21 Taura Museum and Gate Guards,city,-2.31069,-79.73247,"Taura, Naranjal, Guayas, 091205, Ecuador"
"Escuela Superior Militar de Aviación Cosme Rennella Museum, Salinas",city,-2.23668,-80.94902,"Salinas, Santa Elena, 241550, Ecuador"
"Base Aérea Eloy Alfaro Gate Guards, Manta",city,-0.94864,-80.71908,"Manta, Manabí, Ecuador"
"Redondel Strikemaster, Bahía de Caráquez",city,-0.59996,-80.42357,"Bahía de Caráquez, Sucre, Manabí, Ecuador"
"Aeropuerto Luis A. Mantilla AT-33, Tulcán",address,0.80962,-77.70792,"Aeropuerto Teniente Coronel Luis A. Mantilla, Jose Luis Tamayo, Angasmayo, Tulcán, Carchi, 040113, Ecuador"
