Hawker|Hurricane|Mk IVRP|LD975|Hurricane||fixed_wing|monoplane|military|ground_attack||Rocket-armed ground attack Hurricane; ex-RAF LD975; served the Yugoslav Air Force as 9593; carries fuselage code O; airframe number 41H/368368 and 20-925 published by the museum; museum closed for reconstruction and the collection reported deteriorating as of August 2025|Hurricane Mk IV;Hurricane MkIVRP;9593|on_display|RS|Muzej vazduhoplovstva -- Beograd
Vickers-Supermarine|Spitfire|LF Mk Vc trop|JK808|Spitfire||fixed_wing|monoplane|military|fighter||Tropicalised low-altitude Spitfire Vc; construction number CBAF-4690 and 17-545; carries code B and the marking VF-H; served Yugoslavia as 9489; museum records RAF serial JK448 against it as well as JK808 so at least one of the two markings is not this airframe's identity; museum closed for reconstruction as of August 2025|Spitfire Vc;Spitfire LF MkVc;JK448;9489|on_display|RS|Muzej vazduhoplovstva -- Beograd
Messerschmitt|Bf 109|G-2|9663|Bf 109||fixed_wing|monoplane|military|fighter||Construction number 14792; ex-Bulgarian Air Force; taken over and flown post-war by the Yugoslav Air Force as 9663; one of very few surviving Bf 109G airframes in the Balkans; museum closed for reconstruction as of August 2025|Bf109;Me 109;Me109;Bf 109G;c/n 14792|on_display|RS|Muzej vazduhoplovstva -- Beograd
Focke-Wulf|Fw 190|F-8/R1|3|Fw 190||fixed_wing|monoplane|military|ground_attack||Construction number 930838; ground-attack Fw 190F; wears the single-digit Yugoslav number 3; museum closed for reconstruction as of August 2025|Fw190;FW 190F-8;c/n 930838|on_display|RS|Muzej vazduhoplovstva -- Beograd
Junkers|Ju 87|B-2|9801|Stuka||fixed_wing|monoplane|military|bomber||Construction number 0406; listed by the museum as awaiting restoration; one of a handful of Ju 87 airframes surviving anywhere; museum closed for reconstruction as of August 2025|Ju87;Stuka;Ju 87B;c/n 0406|under_restoration|RS|Muzej vazduhoplovstva -- Beograd
Fiat|G.50|Freccia|8|Freccia||fixed_wing|monoplane|military|fighter||Construction number 249; ex-Regia Aeronautica MM6197; then NDH 3505; then Yugoslav 8; the only known surviving Fiat G.50 in the world; the museum's own Serbian text calls it reconstructed while the English text calls it awaiting restoration; museum closed for reconstruction as of August 2025|G50;Fiat G50;MM6197;NDH 3505;c/n 249|under_restoration|IT|Muzej vazduhoplovstva -- Beograd
Ilyushin|Il-2|M3|4154|Shturmovik||fixed_wing|monoplane|military|ground_attack||Construction number 308331; two-seat Il-2M3; served the Yugoslav Air Force; museum closed for reconstruction as of August 2025|Il2;Il-2M3;Sturmovik;Shturmovik;c/n 308331|on_display|RS|Muzej vazduhoplovstva -- Beograd
Yakovlev|Yak-3||2252|Yak-3||fixed_wing|monoplane|military|fighter||Construction number 8545; Soviet-supplied fighter of the Yugoslav Air Force; museum closed for reconstruction as of August 2025|Yak3;c/n 8545|on_display|RS|Muzej vazduhoplovstva -- Beograd
Yakovlev|Yak-9|P|2826|Yak-9||fixed_wing|monoplane|military|fighter||Construction number 04-36; Yak-9P of the Yugoslav Air Force; museum closed for reconstruction as of August 2025|Yak9;Yak-9P|on_display|RS|Muzej vazduhoplovstva -- Beograd
Petlyakov|Pe-2|FT|6054|Pe-2||fixed_wing|monoplane|military|bomber||Construction number 18-426; Soviet-supplied dive bomber of the Yugoslav Air Force; museum closed for reconstruction as of August 2025|Pe2;Pe-2FT|on_display|RS|Muzej vazduhoplovstva -- Beograd
Republic|F-47|D-40-RE|13056|Thunderbolt||fixed_wing|monoplane|military|fighter||Construction number 5609; ex-USAAF 44-90464; supplied to Yugoslavia and flown as 13056; carried in the museum list under the post-1948 F-47 designation; museum closed for reconstruction as of August 2025|P-47;P47;F-47D;Thunderbolt;44-90464|on_display|RS|Muzej vazduhoplovstva -- Beograd
North American|P-51|D-5-NA||Mustang||fixed_wing|monoplane|military|fighter||Construction number 109-26911; ex-USAAF 44-13278; wears the code HL-L; listed by the museum as awaiting restoration; museum closed for reconstruction as of August 2025|P51;P-51D;Mustang;44-13278;HL-L|under_restoration|RS|Muzej vazduhoplovstva -- Beograd
Lockheed|P-38|L-5-LO|9751|Lightning||fixed_wing|monoplane|military|fighter||Construction number 422-6790; ex-USAAF 44-25786; Yugoslav 9751; listed by the museum as awaiting restoration; museum closed for reconstruction as of August 2025|P38;P-38L;Lightning;44-25786|under_restoration|RS|Muzej vazduhoplovstva -- Beograd
North American|T-6|G|FT152|Texan||fixed_wing|monoplane|military|trainer||Construction number 168-503; ex-USAF 50-1289; wears the buzz code FT152; museum closed for reconstruction as of August 2025|T6;T-6G;Texan;Harvard;50-1289|on_display|RS|Muzej vazduhoplovstva -- Beograd
Polikarpov|Po-2||0089|Po-2||fixed_wing|biplane|military|trainer||Construction number 01021; also carried the civil registration YU-CNT; museum closed for reconstruction as of August 2025|Po2;U-2;YU-CNT|on_display|RS|Muzej vazduhoplovstva -- Beograd
Polikarpov|Po-2|V|0105|Po-2||fixed_wing|biplane|military|trainer||Construction number 01096; Polish-built Po-2V; also carried YU-CNP; museum closed for reconstruction as of August 2025|Po2;Po-2V;CSS-13;YU-CNP|on_display|PL|Muzej vazduhoplovstva -- Beograd
Zmaj|Fizir FN||V|Fizir FN||fixed_wing|biplane|military|trainer||Construction number 9; ex YU-CAY and 9009; the Fizir FN was the first aircraft type series-built in Serbia and is a cornerstone exhibit; museum closed for reconstruction as of August 2025|Fizir FN;FizirFN;YU-CAY;9009|on_display|RS|Muzej vazduhoplovstva -- Beograd
Zmaj|Fizir FP-2|||Fizir FP-2||fixed_wing|biplane|military|trainer||Construction number 15; ex 9308; held incomplete; museum closed for reconstruction as of August 2025|Fizir FP-2;FizirFP2;9308|in_storage|RS|Muzej vazduhoplovstva -- Beograd
Sarić|No I||I|Sarić 1||fixed_wing|biplane|civilian|experimental||Replica of the aircraft built in 1909-1910 by the Subotica aviation pioneer Ivan Sarić who first flew it in 1910; recorded as a replica; museum closed for reconstruction as of August 2025|Saric No I;Saric 1;Sarić br. 1|on_display||Muzej vazduhoplovstva -- Beograd
Nieuport|11|C.1|12|Bébé||fixed_wing|biplane|military|fighter||Construction number 27; ex F-WZBC; recorded by the museum as a replica; museum closed for reconstruction as of August 2025|Nieuport XI;Nieuport 11;Bebe;F-WZBC|on_display|FR|Muzej vazduhoplovstva -- Beograd
Rogožarski|R-100||9251|R-100||fixed_wing|monoplane|military|fighter||Construction number 23; held uncompleted; a Kingdom of Yugoslavia design and the only known survivor; museum closed for reconstruction as of August 2025|R100;Rogozarski R-100|in_storage|RS|Muzej vazduhoplovstva -- Beograd
Ikarus|Aero 2|BE|875|Aero 2||fixed_wing|monoplane|military|trainer||Also carried the civil registration YU-CVB; the Aero 2 was the standard post-war Yugoslav primary trainer; museum closed for reconstruction as of August 2025|Aero2;Aero 2BE;YU-CVB|on_display|RS|Muzej vazduhoplovstva -- Beograd
UTVA|Aero 3||P|Aero 3||fixed_wing|monoplane|military|trainer||Prototype airframe; museum closed for reconstruction as of August 2025|Aero3|in_storage|RS|Muzej vazduhoplovstva -- Beograd
UTVA|Aero 3||40186|Aero 3||fixed_wing|monoplane|military|trainer||Construction number 86; also carried YU-CZA; museum closed for reconstruction as of August 2025|Aero3;YU-CZA|on_display|RS|Muzej vazduhoplovstva -- Beograd
Ikarus|Kurir||50157|Kurir||fixed_wing|monoplane|military|utility||Construction number 57; also carried YU-CCB; Yugoslav liaison and observation type; museum closed for reconstruction as of August 2025|Kurir;YU-CCB|on_display|RS|Muzej vazduhoplovstva -- Beograd
Ikarus|Kurir|L|50200|Kurir||fixed_wing|monoplane|military|utility||Construction number 100; also carried YU-CBD; Lycoming-engined Kurir-L; museum closed for reconstruction as of August 2025|Kurir-L;KurirL;YU-CBD|on_display|RS|Muzej vazduhoplovstva -- Beograd
Ikarus|S-49|A|2319|S-49||fixed_wing|monoplane|military|fighter||Construction number 301118; the S-49A was the first Yugoslav-designed fighter to enter series production; museum closed for reconstruction as of August 2025|S49;S-49A;c/n 301118|on_display|RS|Muzej vazduhoplovstva -- Beograd
Ikarus|S-49|C|2400|S-49||fixed_wing|monoplane|military|fighter||Construction number 50; Hispano-Suiza engined S-49C; museum closed for reconstruction as of August 2025|S49;S-49C|on_display|RS|Muzej vazduhoplovstva -- Beograd
Ikarus|214|D|61019|Ikarus 214||fixed_wing|monoplane|military|transport||Construction number 019; also carried YU-ABP; Yugoslav twin-engined light transport; the Serbian museum list calls it 214-P and the English list 214D; museum closed for reconstruction as of August 2025|Ikarus 214;Ikarus214;214D;214-P;YU-ABP|on_display|RS|Muzej vazduhoplovstva -- Beograd
Bücker|Bü 133|D-1|9102|Jungmeister||fixed_wing|biplane|military|trainer||Construction number 1069; ex-NDH 7706; then Yugoslav 9102; museum closed for reconstruction as of August 2025|Bu 133;Bu133;Jungmeister;NDH 7706|on_display|RS|Muzej vazduhoplovstva -- Beograd
