Hjalmar Nyrops varv|Blériot XI||3|||fixed_wing|monoplane|military|other||The oldest preserved aeroplane in Sweden.|Bleriot XI;Nyrop nr 3|on_display|Tekniska museet
AB Enoch Thulins Aeroplanfabrik|Typ G||15|Thulin G||fixed_wing|monoplane|military|trainer||The only surviving example.|Thulin G;Thulin Typ G|on_display|Flygvapenmuseum
Albatros Flugzeugwerke|Sk 1||464/04|Albatros B.II||fixed_wing|biplane|military|trainer||Swedish-built.|Albatros B.II;Albatros 120;Sk1;c/n 464|on_display|Flygvapenmuseum
Albatros Flugzeugwerke|Sk 1||05/03|Albatros B.II||fixed_wing|biplane|military|trainer||Stored dismantled. Ex SE-ACR previously SE-94.|Albatros B.II;Albatros 120;Sk1;c/n 799/17|in_storage|Aeroseum
Bücker|Sk 25||25000|Bü 181 Bestmann||fixed_wing|monoplane|military|trainer||An original German-built Bücker rather than a Swedish licence-built aircraft.|Bü 181 Bestmann;Bu 181;Bestmann;Sk25;c/n 5001|on_display|Flygvapenmuseum
Bücker|Sk 25||25114|Bü 181 Bestmann||fixed_wing|monoplane|military|trainer||Swedish-built. On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|Bü 181 Bestmann;Bu 181;Bestmann;Sk25;c/n 114|on_display|Västerås Flygmuseum
Canadian Vickers|Tp 47||47001|Canso A||fixed_wing|monoplane|military|search_rescue||Ex-RCAF 9810.|PBY-5A;PBY5A;Catalina;Canso A;Tp47;c/n CV-244|on_display|Flygvapenmuseum
Reims-Cessna|F337||SE-GMM|Super Skymaster||fixed_wing|monoplane|civilian|utility||Kept in flyable condition but not airworthy-certified.|F337G;Cessna 337;Cessna337;Super Skymaster;c/n F337-0077|on_display|Aeroseum
De Havilland|Sk 11||515|Tiger Moth||fixed_wing|biplane|military|trainer||The oldest surviving aircraft built by Saab (as ASJA). On loan from Flygvapenmuseum (Statens forsvarshistoriska museer).|DH.82;DH82;D.H.82;Tiger Moth;Sk11;c/n 47|on_display|Swedish Forced Landing Collection
De Havilland|J 28|A|28001|Vampire||fixed_wing|monoplane|military|fighter|||DH.100;DH100;D.H.100;Vampire;J28|on_display|Flygvapenmuseum
De Havilland|J 28|B|28219|Vampire||fixed_wing|monoplane|military|fighter||Wears the false markings F 15 yellow I and the serial 28391; the real 28391 survives separately at Vannas.|DH.100;DH100;D.H.100;Vampire;J28;c/n V.0364|on_display|F 15 Flygmuseum
