id,state,museum,aircraft,aliases_before,aliases_after,description_before,description_after,had_description
5612,,Museo del Niño de Carolina,McDonnell Douglas MD-82 N292AA,DC-9-82 | ex-American Airlines,DC-9-82,,ex-American Airlines,False
4415,Arizona,Commemorative Air Force Airbase Arizona,Mikoyan-Gurevich MiG-21-PF 507,MiG-21 | Fishbed | on loan from Pima,MiG-21 | Fishbed,,on loan from Pima,False
3885,Arizona,Pima Air & Space Museum,Avian Falcon II N3AV,balloon,,,balloon,False
3944,Arizona,Pima Air & Space Museum,Cassutt Formula One,Cassutt | air racer,Cassutt,,air racer,False
5198,Arizona,Pima Air & Space Museum,Hawker Hurricane-Mk.IIB,marked BG974 | replica,marked BG974,,replica,False
4526,Arizona,Pima Air & Space Museum,McCulloch J-2 N4039G,J-2 | autogyro,J-2,,autogyro,False
4442,Arizona,Pima Air & Space Museum,Mitchell B-10 N4232A,Mitchell Wing,,,Mitchell Wing,False
5235,Arizona,Pima Air & Space Museum,PZL Mielec AN-2-R CCCP-32682,N75AN | HR-ARR | 1G211-41,N75AN | HR-ARR,,1G211-41,False
5231,Arizona,Pima Air & Space Museum,Piper J-4-A NC22783,4-469,,,4-469,False
5232,Arizona,Pima Air & Space Museum,Piper PA-48 N481PE,48-8301001,,,48-8301001,False
5246,Arizona,Pima Air & Space Museum,Rotary Air Force RAF 2000-GTX N7234U,219485352-1,,,219485352-1,False
5286,Arizona,Pima Air & Space Museum,TL-Ultralight Stream N34RJ,18-STR-07,,,18-STR-07,False
711,California,Aerospace Museum of California,Lockheed F-104-B 57-1303,F104 | Starfighter | NASA chase,F104 | Starfighter,,NASA chase,False
840,California,Air Force Flight Test Museum,Accurate Automation LoFLYTE,LoFLYTE | waverider,LoFLYTE,,waverider,False
799,California,Air Force Flight Test Museum,Bell LLRV,LLRV | Lunar Landing Research Vehicle,LLRV,,Lunar Landing Research Vehicle,False
801,California,Air Force Flight Test Museum,Bensen X-25-B 68-10771,B-8 | X-25B | gyroglider,B-8 | X-25B,,gyroglider,False
804,California,Air Force Flight Test Museum,Boeing B-52-B 52-0008,NB-52B | Balls 8 | X-15 carrier,NB-52B | Balls 8,,X-15 carrier,False
807,California,Air Force Flight Test Museum,Boeing X-48-C,X-48C | Blended Wing Body,X-48C,,Blended Wing Body,False
810,California,Air Force Flight Test Museum,Convair F-102-A 54-1353,TF-102A | Century Circle,TF-102A,,Century Circle,False
809,California,Air Force Flight Test Museum,Convair F-106-B 59-0158,Delta Dart | Century Circle,Delta Dart,,Century Circle,False
825,California,Air Force Flight Test Museum,Gloster Meteor-TT.20 WD592,Meteor TT.20 | target tug,Meteor TT.20,,target tug,False
832,California,Air Force Flight Test Museum,Lockheed F-104-A 56-756,NF-104A | zoom climb,NF-104A,,zoom climb,False
833,California,Air Force Flight Test Museum,Lockheed F-104-A 56-790,NF-104A | Century Circle,NF-104A,,Century Circle,False
847,California,Air Force Flight Test Museum,McDonnell Douglas X-36,X-36 | tailless,X-36,,tailless,False
848,California,Air Force Flight Test Museum,McDonnell F-101-B 58-288,F-101B | Voodoo | Century Circle,F-101B | Voodoo,,Century Circle,False
852,California,Air Force Flight Test Museum,NASA M2-F1,M2-F1 | lifting body,M2-F1,,lifting body,False
857,California,Air Force Flight Test Museum,North American F-100-A 52-5755,YF-100A | Century Circle,YF-100A,,Century Circle,False
861,California,Air Force Flight Test Museum,Northrop X-21-A 55-408,X-21 | laminar flow,X-21,,laminar flow,False
862,California,Air Force Flight Test Museum,Northrop X-21-A 55-410,X-21 | laminar flow,X-21,,laminar flow,False
864,California,Air Force Flight Test Museum,Northrop YA-9-A 71-1367,YA-9A | A-X competitor,YA-9A,,A-X competitor,False
867,California,Air Force Flight Test Museum,Republic F-105-D 61-146,F-105D | Thud | Century Circle,F-105D | Thud,,Century Circle,False
871,California,Air Force Flight Test Museum,Rutan VariEze N309V,VariEze | canard,VariEze,,canard,False
3801,California,Air Group One Commemorative Air Force Museum,Boeing KC-97-L 53-0200,KC-97 | Stratofreighter | cockpit section,KC-97 | Stratofreighter,,cockpit section,False
3125,California,Armstrong Flight Research Center,Grumman X-29 82-0049,X-29 | forward-swept wing,X-29,,forward-swept wing,False
236,California,Armstrong Flight Research Center,Vought TF-8-A NASA 810,V8 | Crusader | SCW | Supercritical wing,V8 | Crusader | SCW,"NASA selected a Vought F-8A Crusader as the testbed aircraft (designated TF-8A) to install an experimental Supercritical Wing (SCW) in place of the conventional wing. The unique design of the SCW reduces the effect of shock waves on the upper surface near Mach 1, which in turn reduces drag","NASA selected a Vought F-8A Crusader as the testbed aircraft (designated TF-8A) to install an experimental Supercritical Wing (SCW) in place of the conventional wing. The unique design of the SCW reduces the effect of shock waves on the upper surface near Mach 1, which in turn reduces drag; Supercritical wing",True
2002,California,California Science Center,Wright 1902 Glider,Wright Glider | reproduction,Wright Glider,,reproduction,False
341,California,Castle Air Museum,Bell UH-13 56-2217,H-13 | Sioux | MASH helicopter,H-13 | Sioux,Bubble-canopy light helicopter widely used for observation and medical evacuation; the MASH helicopter.,Bubble-canopy light helicopter widely used for observation and medical evacuation; the MASH helicopter.; MASH helicopter,True
351,California,Castle Air Museum,Cessna 150-H N50198,c/n 150-69128 | painted in a USAF colour scheme but the airframe has no military history,c/n 150-69128,"Two-seat light trainer, one of the most widely produced civil aircraft in history.","Two-seat light trainer, one of the most widely produced civil aircraft in history.; painted in a USAF colour scheme but the airframe has no military history",True
